"name","spm_support"
"Commercetools",TRUE
"BaseCamp",TRUE
"MetovaBase",TRUE
"SwiftInjection",TRUE
"GlitchLabel",TRUE
"LocationRequestManager",TRUE
"DataManager",TRUE
"FDChessboardView",TRUE
"Restofire-Gloss",TRUE
"Initializable",TRUE
"Unwrap",TRUE
"Palau",TRUE
"Freddy_Suraj",TRUE
"BaseTask",TRUE
"DebugKitUI",TRUE
"DefaultStringConvertible",TRUE
"TextAttributesUtil",TRUE
"TabPageViewController",TRUE
"FDBarGuage",TRUE
"KDTree",TRUE
"Interpolate",TRUE
"QRSwift",TRUE
"SweetCoreData",TRUE
"DVB",TRUE
"MTK",TRUE
"ThunderCats",TRUE
"SwiftSequence",TRUE
"ESPullToRefresh",TRUE
"SwiftyUtils",TRUE
"SwiftParsec",TRUE
"Bottomsheet",TRUE
"Globus",TRUE
"SnapView",TRUE
"SwiftCloudant",TRUE
"Natrium",TRUE
"JSContextFoundation",TRUE
"Preheat",TRUE
"IrisKit",TRUE
"Sweetness",TRUE
"Shirokoma",TRUE
"SwiftyPromise",TRUE
"AllCache",TRUE
"URLPatterns",TRUE
"Soundex",TRUE
"PrediKit",TRUE
"AlamofireSwiftyJSON",TRUE
"FeedParser",TRUE
"Downpour",TRUE
"JSONMatcher",TRUE
"EasterDate",TRUE
"AwaitKit",TRUE
"Embassy",TRUE
"BlueSteel",TRUE
"YSMessagePack",TRUE
"MissionControl",TRUE
"StructArchiver",TRUE
"VisualEffectView",TRUE
"WKZombie",TRUE
"AssistanceKit",TRUE
"NoOptionalInterpolation",TRUE
"UIImageColors",TRUE
"MRLCircleChart",TRUE
"FlexibleCollectionViewController",TRUE
"RGSwiftKeychain",TRUE
"LicenseParser",TRUE
"TypedOperation",TRUE
"Iolcus",TRUE
"FlowOperations",TRUE
"JATickerView",TRUE
"UXMPDFKit",TRUE
"Stella",TRUE
"CocoaBar",TRUE
"UXMBatchDownloader",TRUE
"OptionalProtocol",TRUE
"Duvel",TRUE
"Stellar",TRUE
"CSV.swift",TRUE
"TableKit",TRUE
"FDTextFieldTableViewCell",TRUE
"SuperDelegate",TRUE
"ObjectMapperTransforms",TRUE
"AlamofireRequestConfigurable",TRUE
"XCServerCoreData",TRUE
"GRBlockTimer",TRUE
"XCTest3",TRUE
"UITextField-Navigation",TRUE
"Delirium",TRUE
"TwilioLookup",TRUE
"SwiftLinkPreview",TRUE
"CHCubicBezier",TRUE
"Willow",TRUE
"Elevate",TRUE
"ParaClient",TRUE
"AlgoliaSearch-Offline-Swift",TRUE
"DEjson",TRUE
"SectionScrubber",TRUE
"KeypathObserver",TRUE
"Dschee-FileKit",TRUE
"🕕",TRUE
"MessageBox",TRUE
"OG",TRUE
"WSTagsField",TRUE
"XCServerAPI",TRUE
